"model","term","estimate","std.error","t.statistic","p.value","n","adj.r.squared"
"spi_x_inc_lvl","(Intercept)",64.0067613759742,1.20299692446535,53.2060889552322,5.34974281316902e-320,1236,0.839671779084483
"spi_x_inc_lvl","cen_spi_comp",0.175651746788161,0.0351126252310273,5.00252389653127,6.48813057131112e-07,1236,0.839671779084483
"spi_x_inc_lvl","factor(income_level_recoded)2",4.08095502983716,0.872195876679793,4.67894327289441,3.20592029028491e-06,1236,0.839671779084483
"spi_x_inc_lvl","factor(income_level_recoded)3",6.75656562974262,1.21322263519927,5.56910614236345,3.14798010573046e-08,1236,0.839671779084483
"spi_x_inc_lvl","factor(income_level_recoded)4",5.65604206487629,1.4370895054161,3.93576186003713,8.7624171423644e-05,1236,0.839671779084483
"spi_x_inc_lvl","cen_di_score",0.0724522679868951,0.0888473060728716,0.81546949693073,0.414963049753281,1236,0.839671779084483
"spi_x_inc_lvl","cen_log_gdppc",1.93545172444563,0.335902062060831,5.76195249463853,1.05224525772737e-08,1236,0.839671779084483
"spi_x_inc_lvl","I(cen_log_gdppc^2)",-0.690064502141253,0.109679858504805,-6.2916246569649,4.37266229338687e-10,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2017",-0.334615471552436,0.469880036999282,-0.712129576070811,0.476520921542567,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2018",-0.918283318433729,0.463849403640175,-1.97970141004229,0.0479619091322053,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2019",-0.667570661886627,0.464145812427896,-1.43827789460092,0.150612107541421,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2020",-0.747521889049595,0.470914188901504,-1.58738451010221,0.112685131947767,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2021",-2.16223175735359,0.481108132489383,-4.49427397156148,7.64507830566847e-06,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2022",-1.97480544313741,0.48656748558954,-4.05864654261612,5.25033604517959e-05,1236,0.839671779084483
"spi_x_inc_lvl","factor(year)2023",-2.46168297141126,0.480210824450239,-5.12625464915222,3.43480835879356e-07,1236,0.839671779084483
"spi_x_inc_lvl","cen_spi_comp:factor(income_level_recoded)2",0.188266614039677,0.0396913569877783,4.74326473891149,2.35138871486047e-06,1236,0.839671779084483
"spi_x_inc_lvl","cen_spi_comp:factor(income_level_recoded)3",-0.0126780588474959,0.0363025636470018,-0.349233155288277,0.726974643181904,1236,0.839671779084483
"spi_x_inc_lvl","cen_spi_comp:factor(income_level_recoded)4",0.291374057371094,0.0374902980088723,7.77198562951242,1.63413591711745e-14,1236,0.839671779084483
"spi_x_reg_binary","(Intercept)",69.0719104936223,0.447854892085084,154.2283264386,0,1236,0.808948698544974
"spi_x_reg_binary","cen_spi_comp",0.260116063078575,0.0178787869589181,14.548865293617,2.40895812310041e-44,1236,0.808948698544974
"spi_x_reg_binary","factor(regime_type_binary)1",0.844839056240199,0.368662126439966,2.29163506541477,0.0220961743459048,1236,0.808948698544974
"spi_x_reg_binary","cen_di_score",0.171613996901245,0.11627644983518,1.47591362777678,0.140224698538639,1236,0.808948698544974
"spi_x_reg_binary","cen_log_gdppc",3.23046490939961,0.14904738233546,21.6740801400243,2.09051939131198e-88,1236,0.808948698544974
"spi_x_reg_binary","I(cen_log_gdppc^2)",-0.843092164622799,0.0707589861336554,-11.9149836747278,4.80839508945557e-31,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2017",-0.388288802870166,0.518039801088842,-0.74953469222643,0.453679262105987,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2018",-0.891965873307875,0.509972370880401,-1.74904744695877,0.0805338710416101,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2019",-0.578772401181826,0.507216669236752,-1.1410752766717,0.254062164951323,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2020",-0.603325472771817,0.516069573041199,-1.16907778386627,0.242600287859871,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2021",-2.07894988515617,0.53266728312888,-3.9029051548735,0.000100232356165665,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2022",-1.97148470112921,0.532549874207046,-3.7019719590859,0.000223461309361294,1236,0.808948698544974
"spi_x_reg_binary","factor(year)2023",-2.30524971497583,0.531878124977821,-4.33416906377182,1.58330676847782e-05,1236,0.808948698544974
"spi_x_reg_binary","cen_spi_comp:factor(regime_type_binary)1",0.0560514841835779,0.0204298550062942,2.74360655845619,0.00616572273163821,1236,0.808948698544974
"spi_x_reg_categ","(Intercept)",67.8784281149422,0.68864925324608,98.5674896109801,0,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp",0.204744397120227,0.035770014358726,5.72391151613504,1.30961274924404e-08,1236,0.813315334883346
"spi_x_reg_categ","factor(regime_type_categ)1",1.41082195485914,0.591714863260607,2.38429358878175,0.017264309263413,1236,0.813315334883346
"spi_x_reg_categ","factor(regime_type_categ)2",1.94306315390577,0.670479878088092,2.89801859445285,0.00382252379855261,1236,0.813315334883346
"spi_x_reg_categ","factor(regime_type_categ)3",3.03480722415021,0.876781825566971,3.4613026133243,0.000556183810084082,1236,0.813315334883346
"spi_x_reg_categ","cen_di_score",-0.00461279214159004,0.127229731753952,-0.0362556147686506,0.971084481783785,1236,0.813315334883346
"spi_x_reg_categ","cen_log_gdppc",3.12246338092827,0.155269090695616,20.1100126685835,6.77000385347356e-78,1236,0.813315334883346
"spi_x_reg_categ","I(cen_log_gdppc^2)",-0.994552538854367,0.0816048652060972,-12.1874172127186,2.53846045283963e-32,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2017",-0.405151529348524,0.511392263034455,-0.792251972965861,0.428368042724216,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2018",-0.892597613204631,0.505700312688686,-1.76507229837155,0.0778021762708296,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2019",-0.54728139222769,0.502303663115284,-1.08954290485053,0.276130059874559,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2020",-0.534669612240051,0.512377889863305,-1.04350640965927,0.296920876681801,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2021",-1.94432208871294,0.532142451831382,-3.6537624127177,0.000269413459006466,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2022",-1.84189907352712,0.531744639666504,-3.46387896769831,0.000550936137277196,1236,0.813315334883346
"spi_x_reg_categ","factor(year)2023",-2.10263060779906,0.533202090311642,-3.94340278480553,8.49117219322258e-05,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)1",0.080021737082752,0.0388329997185779,2.06066329314418,0.0395471270305076,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)2",0.0690477706181321,0.0386893978970191,1.7846690403898,0.0745638391683967,1236,0.813315334883346
"spi_x_reg_categ","cen_spi_comp:factor(regime_type_categ)3",0.158864348010961,0.0426021949067889,3.72901791465315,0.000201062704721616,1236,0.813315334883346
"spi_x_di_score","(Intercept)",69.4727319803927,0.398233476859679,174.452264857864,0,1236,0.814614905484771
"spi_x_di_score","cen_spi_comp",0.306309008760956,0.0126651337948979,24.1852169682053,6.27969982330471e-106,1236,0.814614905484771
"spi_x_di_score","cen_di_score",0.334101078155989,0.0934152163131674,3.57651666764803,0.000361795974008046,1236,0.814614905484771
"spi_x_di_score","cen_log_gdppc",2.97579135332831,0.143905614086047,20.6787717923845,1.05160746546701e-81,1236,0.814614905484771
"spi_x_di_score","I(cen_log_gdppc^2)",-1.02597576539851,0.0789614226072741,-12.9933799508825,2.96752951897329e-36,1236,0.814614905484771
"spi_x_di_score","factor(year)2017",-0.411137921862947,0.519882636693327,-0.79082833863804,0.429197497602183,1236,0.814614905484771
"spi_x_di_score","factor(year)2018",-0.950750018579642,0.507573364723687,-1.87312827003287,0.0612890455065968,1236,0.814614905484771
"spi_x_di_score","factor(year)2019",-0.661760231916623,0.505230218324002,-1.30981918324656,0.19050299130677,1236,0.814614905484771
"spi_x_di_score","factor(year)2020",-0.706547229428465,0.512413949330508,-1.37886025614955,0.168189971323274,1236,0.814614905484771
"spi_x_di_score","factor(year)2021",-2.19260456357571,0.524072728701571,-4.18377916555217,3.07185446546438e-05,1236,0.814614905484771
"spi_x_di_score","factor(year)2022",-2.10468912814327,0.525055512135195,-4.00850782345723,6.47984501071987e-05,1236,0.814614905484771
"spi_x_di_score","factor(year)2023",-2.44406387940241,0.528323056586707,-4.62607839830533,4.1228632511043e-06,1236,0.814614905484771
"spi_x_di_score","cen_spi_comp:cen_di_score",0.0298806196538255,0.00496805856200991,6.01454658411611,2.37905617451077e-09,1236,0.814614905484771
